,x_coordinate,Total_Pressure_Recovery,Avg_total_pressure
155,0.040919441,0.45454248116522883,50093358.65382548
156,0.04105233,0.45369342283139186,49999787.237737186
157,0.041189662,0.452804775796532,49901852.90491141
158,0.041331587,0.4518730592196437,49799172.045401566
159,0.041478258,0.45090367482067667,49692339.96175034
160,0.041629833,0.4499006770166818,49581803.475489005
161,0.041786478,0.4488704745535865,49468268.869575836
162,0.041948361,0.44783853081895136,49354542.36489991
163,0.042115657,0.4467983821735455,49239911.628925495
164,0.042288548,0.4457120734311621,49120193.768228516
165,0.042467221,0.44454801351213064,48991907.25280953
166,0.042651869,0.4432153452269604,48845039.06525426
167,0.042842691,0.4416459525878267,48672082.40751951
168,0.043039895,0.43988638504214633,48478167.31312516
169,0.043243694,0.43810607318175715,48281966.06850328
170,0.043454308,0.4362723792634307,48079881.7949353
171,0.043671965,0.4343334958045259,47866204.9912933
172,0.0438969,0.4324238447297438,47655749.77498988
173,0.044129358,0.4304246629127325,47435427.72386492
174,0.04436959,0.42839834052216696,47212114.615706876
175,0.044617854,0.42641122629289274,46993122.48648283
176,0.044874422,0.42435903826637705,46766958.82720547
177,0.045139569,0.4223402068084906,46544471.26559785
178,0.045413583,0.420383214173052,46328798.72005577
179,0.04569676,0.4184681492402576,46117746.86352101
180,0.045989407,0.41673313312672383,45926537.4869571
181,0.04629184,0.4151587393080241,45753029.66867725
182,0.046604387,0.4134870240617895,45568796.43445451
183,0.046927386,0.41151945864291506,45351958.70357867
184,0.047261187,0.40892987560062727,45066570.83010941
185,0.04760615,0.4053762047260457,44674934.586998045
186,0.047962649,0.4009852015176386,44191019.20464487
187,0.048331069,0.39576831919917704,43616086.898288004
188,0.048711811,0.3894627467043405,42921174.28265786
189,0.049105284,0.382391203921648,42141847.0612699
190,0.049511916,0.3747778536691348,41302809.34629403
191,0.049932145,0.3667268633325118,40415541.020092554
192,0.050366428,0.3587696744387649,39538610.18601765
193,0.050815234,0.35080077341514543,38660388.60367032
194,0.051279048,0.3429249005587374,37792419.29374666
195,0.051758373,0.3353260818119375,36954983.039487086
196,0.052253726,0.32787615710848617,36133955.8185389
197,0.052765645,0.3204083683927883,35310959.874293014
198,0.053294683,0.3123877609188213,34427039.92519384
199,0.053841413,0.30398604657157047,33501119.67011687
200,0.054406426,0.29603976896523887,32625391.32658249
201,0.054990333,0.2885358643933765,31798415.194321398
202,0.055593767,0.2815687110479057,31030592.326728962
203,0.05621738,0.2752107748570474,30329908.911857937
204,0.056861848,0.26947075973143986,29697324.173841067
205,0.057527868,0.2643770254944468,29135963.538490005
206,0.058216159,0.2599222601926954,28645021.18386741
207,0.058927468,0.25604982486953554,28218255.150889575
208,0.059662564,0.2527296933310454,27852356.369527914
209,0.060422243,0.24994156764315315,27545087.883428454
210,0.061207325,0.24760430610297773,27287507.381162398
211,0.062018662,0.2456187301540932,27068684.779836103
212,0.062857131,0.24385958484139503,26874816.21809621
213,0.063723639,0.24222395813394754,26694560.16134679
214,0.064619124,0.2406892559744372,26525426.606423445
215,0.065544555,0.23918663174687077,26359828.235594712
216,0.066500933,0.23754989997753767,26179450.394273628
217,0.067489294,0.23642417490579973,26055388.61325019
218,0.068510706,0.23550166134520817,25953721.98236617
219,0.069499067,0.23449331974478382,25842596.577088006
220,0.070455445,0.23358396465844714,25742380.090464424
221,0.071380876,0.23276706041119746,25652352.251177747
222,0.072276361,0.23202436449112168,25570502.622954406
223,0.073142869,0.23135429202761706,25496656.543370508
224,0.073981338,0.2307436741047059,25429362.717423964
225,0.074792675,0.2301809336490786,25367345.28090078
226,0.075577757,0.22966341171549695,25310311.201789696
227,0.076337436,0.22918925052445188,25258055.74143788
228,0.077072532,0.22875328722762692,25210009.92241614
229,0.077783841,0.22835469024969923,25166082.10004302
230,0.078472132,0.22799338846465836,25126264.435797594
231,0.079138152,0.22766295365013606,25089848.500298798
232,0.07978262,0.22735861937070342,25056309.00323971
233,0.080406233,0.22707893638406995,25025486.229265124
234,0.081009667,0.22681787698283454,24996715.888190478
235,0.081593574,0.22657446741694534,24969890.666810505
236,0.082158587,0.22634863543503003,24945002.60258252
237,0.082705317,0.22613701862451943,24921681.137097247
238,0.083234355,0.2259385362107758,24899807.16238613
239,0.083746274,0.2257518186641941,24879229.747918945
240,0.084241627,0.22557547605359418,24859795.714787237
241,0.084720952,0.22540845101460494,24841388.534976874
